OID,GID,County,March11,March12,March14,March15,March16,March17,March18,March19,March20,March21,March22,March23,NewCases,Shape_Leng,Shape_Area,March24
235,230,Briscoe,0,0,0,0,0,0,0,0,0,0,0,0,0,234916.37699999998,3451658660.0,0
236,231,Swisher,0,0,0,0,0,0,0,0,0,0,0,0,0,234981.363,3450308079.0,0
237,232,Castro,0,0,0,0,0,0,0,0,0,1,1,2,0,234806.7514,3440259263.0,2
238,233,Parmer,0,0,0,0,0,0,0,0,0,0,0,0,0,232708.0091,3386260216.0,0
239,234,Collingsworth,0,0,0,0,0,0,0,0,0,0,0,0,0,238378.3088,3553308497.0,0
240,235,Donley,0,0,0,0,0,0,0,0,0,0,0,0,0,240204.6238,3606827342.0,0
241,236,Armstrong,0,0,0,0,0,0,0,0,0,0,0,0,0,237696.27899999998,3525463003.0,0
242,237,Randall,0,0,0,0,0,0,0,0,0,0,0,0,0,238970.0145,3565310042.0,0
243,238,Deaf Smith,0,0,0,0,0,0,0,0,0,1,1,1,1,313127.0198,5790766627.0,2
244,239,Wheeler,0,0,0,0,0,0,0,0,0,0,0,0,0,239257.6312,3575198591.0,0
245,240,Gray,0,0,0,0,0,0,0,0,0,0,0,0,0,241077.2814,3632219547.0,0
246,252,Sherman,0,0,0,0,0,0,0,0,0,0,0,0,0,242891.5064,3685492304.0,0
247,253,Dallam,0,0,0,0,0,0,0,0,0,0,0,0,0,318585.8383,6010911072.0,0
248,254,Cass,0,0,0,0,0,0,0,0,0,0,0,0,1,332615.4955,3550547593.0,1
249,249,Lipscomb,0,0,0,0,0,0,0,0,0,0,0,0,0,244164.2305,3726065329.0,0
250,250,Ochiltree,0,0,0,0,0,0,0,0,0,0,0,0,0,242795.9663,3671225852.0,0
251,251,Hansford,0,0,0,0,0,0,0,0,0,0,0,0,0,242591.7875,3676774336.0,0
252,198,Jack,0,0,0,0,0,0,0,0,0,0,0,0,0,235432.2459,3416516273.0,0
253,17,Dimmit,0,0,0,0,0,0,0,0,0,0,0,0,0,271794.7543,4431714906.0,0
